index,type,start,duration
391,"x",3565541,4020
392,"e",3571060,750
392,"j",3572459,643
392,"x",3574112,3932
393,"e",3579527,747
393,"j",3580931,615
393,"x",3582503,3843
394,"e",3587801,848
394,"j",3589292,1970
394,"x",3592298,4217
395,"e",3598058,843
395,"j",3599577,2103
395,"x",3602620,3892
396,"e",3607994,591
396,"j",3609330,604
396,"x",3610924,3748
397,"e",3616158,661
397,"j",3617462,2093
397,"x",3620539,3934
398,"e",3626067,638
398,"j",3627338,1029
398,"x",3629364,3603
399,"e",3637757,721
399,"j",3638757,4123
399,"x",3643694,4376
400,"e",3649507,980
400,"j",3651154,1302
400,"x",3653492,3321
401,"e",3667029,677
401,"j",3668457,2044
401,"x",3671464,3658
402,"e",3676669,583
402,"j",3678093,518
402,"x",3679636,3702
403,"e",3684924,511
403,"j",3686142,841
403,"x",3687940,4394
404,"e",3693862,498
404,"j",3695081,800
404,"x",3696796,2672
405,"e",3700989,603
405,"j",3702374,620
405,"x",3703983,3783
406,"e",3709297,375
406,"j",3710459,651
406,"x",3712065,3360
407,"e",3716941,528
407,"j",3718200,589
407,"x",3719771,4397
408,"e",3725679,674
408,"j",3727064,1874
408,"x",3729887,4182
409,"e",3735695,665
409,"j",3736981,992
409,"x",3739014,3393
410,"e",3743904,403
410,"j",3745068,590
410,"x",3746605,3249
411,"e",3751562,464
411,"j",3752766,833
411,"x",3754551,3152
412,"e",3759237,488
412,"j",3760428,3261
412,"x",3764657,2928
413,"e",3769038,518
413,"j",3770271,964
413,"x",3772207,4103
414,"e",3777848,821
414,"j",3779386,888
414,"x",3781242,3294
415,"e",3786037,667
415,"j",3787432,861
415,"x",3789271,3491
416,"e",3794383,605
416,"j",3795730,959
